company,relation,registered
A2U速递,注册资本,0.1
AAE快递,注册资本,0.1
安能物流,注册资本,1000
安迅物流,注册资本,10000
澳邮中国快运,注册资本,0.1
安鲜达,注册资本,12233
安捷物流,注册资本,2000
ANTS EXPRESS,注册资本,0.1
安世通快递,注册资本,5000
澳世速递,注册资本,52001.3
Aplus物流,注册资本,0.1
安达速递,注册资本,100
安达易国际速递,注册资本,0.1
澳洲迈速快递,注册资本,0.1
昂威物流,注册资本,1000
澳天速运,注册资本,501
澳洲飞跃物流,注册资本,0.1
艾菲尔国际速递,注册资本,0.1
澳速通国际速递,注册资本,1
澳德物流,注册资本,3000
爱拜物流,注册资本,0.1
百世快运,注册资本,100
百世快递,注册资本,50
包裹/平邮/挂号信,注册资本,0.1
百福东方物流,注册资本,100
百千诚物流,注册资本,1000
佰麒快递,注册资本,0.1
百成大达物流,注册资本,12800
百腾物流,注册资本,1000
百事亨通,注册资本,5000
堡昕德速递,注册资本,100
北极星快运,注册资本,0.1
北京丰越供应链,注册资本,500
败欧洲,注册资本,0.1
标杆物流,注册资本,50
邦通国际,注册资本,200
贝业物流,注册资本,5000
八达通快递,注册资本,50.5
帮帮发,注册资本,100
报通快递,注册资本,1000
百通物流,注册资本,501
邦泰快运,注册资本,100
COE（东方快递）,注册资本,0.1
出口易,注册资本,0.1
程光快递,注册资本,105
传喜物流,注册资本,50
春风物流,注册资本,4286
村通快递,注册资本,500
长风物流,注册资本,4680
长江国际速递,注册资本,505
C&C国际速递,注册资本,0.1
诚一物流,注册资本,12900
承诺达,注册资本,100
曹操到,注册资本,300
昌宇国际,注册资本,600000
河北橙配,注册资本,500
臣邦同城,注册资本,100
CE易欧通国际速递,注册资本,0.1
DHL中国,注册资本,1
DHL国际,注册资本,35335
DHL德国,注册资本,0.1
德邦快递,注册资本,100
东方快递,注册资本,1978.76
递四方,注册资本,1882.3529
大洋物流,注册资本,3750
东方汇,注册资本,15000
东西E全运,注册资本,50
D速物流,注册资本,0.1
达方物流,注册资本,50
大众佐川急便,注册资本,0.1
德方物流,注册资本,714
多道供应链,注册资本,500
德中快递,注册资本,50
德坤物流,注册资本,10000
达速物流,注册资本,101
德豪驿,注册资本,0.1
DHL Paket,注册资本,0.1
德国云快递,注册资本,0.1
递五方云仓,注册资本,10000
db0station,注册资本,0.1
大道物流,注册资本,1000
德尚国际速递,注册资本,10
德国 EUC POST,注册资本,0.1
丹鸟,注册资本,2252.7007
大马鹿,注册资本,500
EU0EXPRESS,注册资本,0.1
EMS快递查询,注册资本,0.1
EMS国际快递查询,注册资本,0.1
俄顺达,注册资本,100
EWE全球快递,注册资本,50
EASYEXPRESS国际速递,注册资本,0.1
e直运,注册资本,0.1
E跨通,注册资本,1142489.4787
E速达,注册资本,2500000
EFS（平安快递）,注册资本,0.1
FedEx快递查询,注册资本,0.1
FedEx美国,注册资本,0.1
FedEx快递查询,注册资本,0.1
FedEx英国,注册资本,0.1
FOX国际速递,注册资本,0.1
飞豹快递,注册资本,50
泛捷国际速递,注册资本,0.1
番薯国际货运,注册资本,50
颿达国际快递,注册资本,0.1
飞力士物流,注册资本,1000
飞邦快递,注册资本,4134
丰程物流,注册资本,250
泛远国际物流,注册资本,4312.2844
疯狂快递,注册资本,100
法翔速运,注册资本,10
富腾达快递,注册资本,0.1
方舟国际速递,注册资本,1000
飞云快递系统,注册资本,0.1
锋鸟物流,注册资本,200
飞洋快递,注册资本,1000
FedRoad 联邦转运,注册资本,13.33
GSM,注册资本,50300
GSM,注册资本,50300
GATI快递,注册资本,0.1
GTS快递,注册资本,0.1
挂号信/国内邮件,注册资本,0.1
国通快递,注册资本,200
港中能达物流,注册资本,1900
港快速递,注册资本,500
共速达,注册资本,8206
GE2D跨境物流,注册资本,0.1
广东诚通物流,注册资本,2250
GHT物流,注册资本,0.1
高捷快运,注册资本,0.1
共联配,注册资本,1000
GTT EXPRESS快递,注册资本,0.1
华宇物流,注册资本,88324.109
恒路物流,注册资本,7200
好来运快递,注册资本,1
环国运物流,注册资本,3500
海航天天,注册资本,5000
華信物流WTO,注册资本,0.1
华企快运,注册资本,0.1.002
户通物流,注册资本,1000
黄马甲快递,注册资本,5500
合众速递（UCS）,注册资本,0.1
皇家物流,注册资本,2500
猴急送,注册资本,1000
航宇快递,注册资本,50
环球速运,注册资本,500
航空快递,注册资本,30
好又快物流,注册资本,1000
韩润物流,注册资本,200
荷兰 Sky Post ,注册资本,0.1
汇通天下物流,注册资本,2000
恒通快递,注册资本,220
恒宇运通,注册资本,500
恒瑞物流,注册资本,100
河南全速通,注册资本,1185
华瀚快递,注册资本,0.1
海淘物流,注册资本,1100
海沧无忧,注册资本,50
鸿泰物流,注册资本,800
海硕高铁速递,注册资本,5000
海联快递,注册资本,100
海带宝转运,注册资本,0.1
花瓣转运,注册资本,0.1
瀚朝物流,注册资本,550
红远物流,注册资本,200
浩博物流,注册资本,510
华夏国际速递,注册资本,1000
黑猫宅急便,注册资本,500
海信物流,注册资本,500
货运皇国际物流,注册资本,0.1
红背心,注册资本,500
皇家云仓,注册资本,2000
翰丰快递,注册资本,700
华欣物流,注册资本,3000
环球快运,注册资本,3000
环旅快运,注册资本,3000
华夏货运,注册资本,830.78
佳怡物流,注册资本,2000
加运美快递,注册资本,50
急先达物流,注册资本,1000
京广速递,注册资本,100
京东物流,注册资本,500
久易快递,注册资本,50
九曳供应链,注册资本,333.7607
佳家通,注册资本,100
锦程国际物流,注册资本,100000
景光物流,注册资本,200
嘉里大通,注册资本,27000
佳成快递,注册资本,50
锦程快递,注册资本,50
捷安达国际速递,注册资本,0.1
家家通快递,注册资本,4134
吉祥邮（澳洲）,注册资本,0.1
吉祥邮（澳洲）,注册资本,0.1
极地快递,注册资本,3
加州猫速递,注册资本,0.1
捷邦物流,注册资本,1180
集先锋速递,注册资本,1
嘉诚速达,注册资本,200
景顺物流,注册资本,1200
加拿大联通快运,注册资本,0.1
柬埔寨中通,注册资本,0.1
嘉荣物流,注册资本,500
聚盟共建,注册资本,4500
极兔速递,注册资本,1000
跨越速运,注册资本,46761.7489
快达物流,注册资本,100
跨越速运,注册资本,46761.7489
快达物流,注册资本,100
开心快递,注册资本,50
快速递,注册资本,50
快服务,注册资本,284.5733
快8速运,注册资本,0.1
联昊通物流,注册资本,550
乐天速递,注册资本,500
乐递供应链,注册资本,500
论道国际物流,注册资本,500
林安物流,注册资本,10100
6LS EXPRESS,注册资本,0.1
联运通物流,注册资本,5000
蓝天国际航空快递,注册资本,0.1
龙枫国际快递,注册资本,805
联合快递,注册资本,2050
陆本速递 LUBEN EXPRESS,注册资本,0.1
龙邦物流,注册资本,1000
联通快递,注册资本,50
联合速运,注册资本,200
LUCFLOW EXPRESS,注册资本,0.1
民航快递,注册资本,26756
美国快递,注册资本,0.1
美邦国际快递,注册资本,805
木春货运,注册资本,1000
美快国际物流,注册资本,200
美通快递,注册资本,100
马珂博逻,注册资本,1725
明辉物流,注册资本,1000
魔速达,注册资本,500
猛犸速递,注册资本,0.1
美泰物流,注册资本,100
明达国际速递,注册资本,300
明通国际速递,注册资本,1000
能达速递,注册资本,50
偌亚奥国际,注册资本,600
能达速递,注册资本,50
偌亚奥国际,注册资本,600
诺尔国际物流,注册资本,3000
尼尔快递,注册资本,50
能装能送,注册资本,20
南方传媒物流,注册资本,2000
OCS,注册资本,5613.49
欧亚专线,注册资本,0.1
欧洲UEX,注册资本,0.1
PCA Express,注册资本,200
平安达腾飞,注册资本,100
品骏快递,注册资本,4602.7867
鹏远国际速递,注册资本,0.1.1
PostElbe,注册资本,1000
品信快递,注册资本,500
全一快递,注册资本,29900
秦邦快运,注册资本,0.1
全速通国际快递,注册资本,0.1
秦远物流,注册资本,500
启辰国际物流,注册资本,500
千顺快递,注册资本,1000
全时速运,注册资本,50
全联速运,注册资本,500
青云物流,注册资本,5000
签收快递,注册资本,100
7E速递,注册资本,0.1
全网物流,注册资本,1000
日昱物流,注册资本,1500
日日顺物流,注册资本,64763
日日顺快线,注册资本,120
容智快运,注册资本,3000
日日通国际,注册资本,500
睿和泰速运,注册资本,8170.5
日日顺智慧物联,注册资本,3290.09
顺丰速运,注册资本,15000
申通快递,注册资本,175000
顺丰速运,注册资本,15000
申通快递,注册资本,175000
速尔快递,注册资本,15503
盛辉物流,注册资本,16000
世运快递,注册资本,500
盛丰物流,注册资本,18965.847
三态速递,注册资本,500
申通E物流,注册资本,0.1
圣安物流,注册资本,1000
穗佳物流,注册资本,3000
上海林道货运,注册资本,1500
速舟物流,注册资本,1000
顺捷丰达,注册资本,1000
速必达物流,注册资本,5000
速腾物流,注册资本,1000
速方国际物流,注册资本,500
速递中国,注册资本,2500000
苏宁物流,注册资本,699991.3584
顺时达物流,注册资本,100
Superb Grace,注册资本,0.1
SQK国际速递,注册资本,0.1
顺士达速运,注册资本,100
SYNSHIP快递,注册资本,0.1
申通国际,注册资本,0.1
三象速递,注册资本,0.1
商桥物流,注册资本,200
速配鸥翼,注册资本,0.1
速派快递,注册资本,200
苏通快运,注册资本,1000
捎客物流,注册资本,500
速达通跨境物流,注册资本,0.1
速通物流,注册资本,3000
顺达快递,注册资本,100
顺心捷达,注册资本,200
盛通快递,注册资本,50
