company,registered
A2U速递,0
AAE快递,0
安能物流,1000万(元)
安迅物流,10000万(元)
澳邮中国快运,0
安鲜达,12233万(元)
安捷物流,2000万(元)
ANTS EXPRESS,0
安世通快递,5000万(元)
澳世速递,52001.3万(元)
Aplus物流,0
安达速递,100万(元)
安达易国际速递,0
澳洲迈速快递,0
昂威物流,1000万(元)
澳天速运,501万(元)
澳洲飞跃物流,0
艾菲尔国际速递,0
澳速通国际速递,1万(元)
澳德物流,3000万(元)
爱拜物流,-
百世快运,100万(元)
百世快递,50万(元)
包裹/平邮/挂号信,0
百福东方物流,100万(元)
百千诚物流,1000万(元)
佰麒快递,0
百成大达物流,12800万(元)
百腾物流,1000万(元)
百事亨通,5000万(元)
堡昕德速递,100万(元)
北极星快运,0
北京丰越供应链,500万(元)
败欧洲,-
标杆物流,50万(元)
邦通国际,200万(元)
贝业物流,5000万(元)
八达通快递,50.5万(元)
帮帮发,100万(元)
报通快递,1000万(元)
百通物流,501万(元)
邦泰快运,100万(元)
COE（东方快递）,0
出口易,0
程光快递,105万(元)
传喜物流,50万(元)
春风物流,4286万(元)
村通快递,500万(元)
长风物流,4680万(元)
长江国际速递,505万(元)
C&C国际速递,0
诚一物流,12900万(元)
承诺达,100万(元)
曹操到,300万(元)
昌宇国际,600000万(元)
河北橙配,500万(元)
臣邦同城,100万(元)
CE易欧通国际速递,0
DHL中国,1万(元)
DHL国际,35335万(元)
DHL德国,0
德邦快递,100万(元)
东方快递,1978.76万(元)
递四方,1882.3529万(元)
大洋物流,3750万(元)
东方汇,15000万(元)
东西E全运,50万(元)
D速物流,0
达方物流,50万(元)
大众佐川急便,-
德方物流,714万(元)
多道供应链,500万(元)
德中快递,50万(元)
德坤物流,10000万(元)
达速物流,101万(元)
德豪驿,0
DHL Paket,0
德国云快递,0
递五方云仓,10000万(元)
db-station,0
大道物流,1000万(元)
德尚国际速递,10万(元)
德国 EUC POST,0
丹鸟,2252.7007万(元)
大马鹿,500万(元)
EU-EXPRESS,0
EMS快递查询,0
EMS国际快递查询,0
俄顺达,100万(元)
EWE全球快递,50万(元)
EASYEXPRESS国际速递,0
e直运,0
E跨通,1142489.4787万(元)
E速达,2500000万(元)
EFS（平安快递）,0
FedEx快递查询,0
FedEx美国,0
FedEx快递查询,0
FedEx英国,0
FOX国际速递,0
飞豹快递,50万(元)
泛捷国际速递,0
番薯国际货运,50万(元)
颿达国际快递,0
飞力士物流,1000万(元)
飞邦快递,4134万(元)
丰程物流,250万(元)
泛远国际物流,4312.2844万(元)
疯狂快递,100万(元)
